shipment_id,origin,destination,weight_kg,status,date,carrier
1001,CDMX,Monterrey,12.6,delivered,2024-02-05,FedEx
1002,cdmx,Monterrey,,delivered,2024-02-25,FedEx
1003,Tijuana,León,27.5,in_transit,2024-02-26,Estafeta
1004,Monterrey,Guadalajara,17.3,delivered,2024-02-09,Estafeta
1005,CDMX,Monterrey,18.3,failed,2024-03-29,Estafeta
1006,Monterrey,León,6.7,delivered,2024-04-06,Estafeta
1007,monterrey,Cancún,3.9,delivered,2024-06-18,Estafeta
1008,CDMX,Guadalajara,19.3,delivered,2024-04-26,DHL
1009,monterrey,Tijuana,13.7,delivered,2024-06-23,DHL
1010,Tijuana,Monterrey,13.9,failed,2024-06-12,DHL
1011,monterrey,CDMX,2.1,in_transit,2024-03-21,Estafeta
1012,CDMX,Guadalajara,28.6,delivered,2024-03-21,Redpack
1013,cdmx,León,13.6,failed,2024-03-04,Estafeta
1014,cdmx,Cancún,11.4,failed,2024-02-05,Redpack
1015,CDMX,Monterrey,8.1,in_transit,2024-02-10,FedEx
1016,cdmx,Puebla,23.7,failed,2024-03-05,FedEx
1017,CDMX,León,37.7,delivered,2024-06-13,FedEx
1018,Puebla,Tijuana,0.7,failed,2024-03-08,DHL
1019,CDMX,León,32.1,delivered,2024-06-04,DHL
1020,monterrey,Guadalajara,39.0,delivered,2024-05-15,Estafeta
1021,guadalajara,CDMX,18.5,delivered,2024-03-19,FedEx
1022,Tijuana,Cancún,4.7,delivered,2024-05-04,DHL
1023,Guadalajara,León,27.7,failed,2024-03-08,Redpack
1024,Tijuana,Cancún,34.6,in_transit,2024-03-20,Estafeta
1025,guadalajara,Cancún,12.8,delivered,2024-01-17,FedEx
1026,Tijuana,Cancún,4.0,delivered,2024-06-10,DHL
1027,CDMX,Monterrey,4.0,delivered,2024-03-01,Redpack
1028,Tijuana,Cancún,46.8,failed,2024-05-26,Redpack
1029,Tijuana,Puebla,9.9,in_transit,2024-01-25,Estafeta
1030,cdmx,Puebla,36.6,delivered,2024-06-21,FedEx
1031,cdmx,León,43.2,delivered,2024-03-04,DHL
1032,guadalajara,Monterrey,14.3,delivered,2024-03-04,Redpack
1033,CDMX,Monterrey,27.3,delivered,2024-01-04,DHL
1034,Guadalajara,Puebla,11.1,delivered,2024-04-12,DHL
1035,cdmx,Monterrey,13.6,delivered,2024-04-26,Redpack
1036,guadalajara,Monterrey,11.3,failed,2024-01-15,FedEx
1037,monterrey,CDMX,null,failed,2024-05-02,DHL
1038,Monterrey,Cancún,145.3,delivered,2024-06-01,DHL
1039,cdmx,Monterrey,28.7,failed,2024-05-28,FedEx
1040,CDMX,Puebla,28.5,delivered,2024-03-21,DHL
1041,monterrey,Guadalajara,7.0,delivered,2024-06-14,Redpack
1042,monterrey,CDMX,,failed,2024-06-08,FedEx
1043,CDMX,Cancún,13.6,delivered,2024-03-30,DHL
1044,monterrey,Tijuana,41.8,delivered,2024-06-29,FedEx
1045,Puebla,León,276.8,delivered,2024-03-08,FedEx
1046,Guadalajara,Tijuana,10.9,delivered,2024-03-28,Estafeta
1047,guadalajara,Tijuana,42.4,in_transit,2024-01-24,Estafeta
1048,Monterrey,CDMX,7.0,delivered,2024-03-08,Redpack
1049,cdmx,Cancún,,delivered,2024-01-20,FedEx
1050,monterrey,Cancún,21.8,delivered,2024-01-11,Estafeta
1051,Monterrey,Tijuana,12.9,delivered,2024-01-27,Redpack
1052,Guadalajara,Monterrey,48.8,in_transit,2024-02-15,FedEx
1053,Guadalajara,León,39.2,delivered,2024-04-15,Estafeta
1054,Guadalajara,León,275.7,delivered,2024-04-30,DHL
1055,guadalajara,Tijuana,39.9,delivered,2024-02-28,FedEx
1056,Tijuana,Puebla,43.3,delivered,2024-03-12,Redpack
1057,monterrey,CDMX,48.5,failed,2024-02-15,Estafeta
1058,Monterrey,CDMX,17.6,in_transit,2024-03-21,FedEx
1059,cdmx,Cancún,2.7,delivered,2024-04-21,DHL
1060,monterrey,Puebla,null,delivered,2024-06-19,Estafeta
1061,CDMX,León,25.6,in_transit,2024-06-19,Estafeta
1062,cdmx,León,6.8,in_transit,2024-04-17,DHL
1063,Puebla,Tijuana,0.5,delivered,2024-03-14,Redpack
1064,monterrey,Puebla,33.9,in_transit,2024-05-10,DHL
1065,CDMX,Tijuana,31.8,delivered,2024-03-26,DHL
1066,Puebla,Monterrey,7.8,delivered,2024-01-12,Redpack
1067,CDMX,Puebla,31.7,in_transit,2024-02-19,Redpack
1068,cdmx,Guadalajara,34.5,in_transit,2024-01-28,DHL
1069,Guadalajara,León,3.0,delivered,2024-03-04,Redpack
1070,Guadalajara,Puebla,49.4,delivered,2024-06-01,Redpack
1071,cdmx,Cancún,8.4,in_transit,2024-05-01,Estafeta
