shipment_id,origin,destination,weight_kg,status,date,carrier
1038,Monterrey,Cancún,145.3,delivered,2024-06-01,DHL
1045,Puebla,León,276.8,delivered,2024-03-08,FedEx
1054,Guadalajara,León,275.7,delivered,2024-04-30,DHL
1149,Guadalajara,León,229.2,delivered,2024-01-11,Redpack
1199,Guadalajara,Monterrey,158.6,failed,2024-02-14,DHL
1206,Monterrey,Puebla,280.8,delivered,2024-03-28,DHL
1210,Guadalajara,Tijuana,236.1,delivered,2024-03-30,Redpack
1295,Tijuana,CDMX,172.8,delivered,2024-04-30,DHL
1365,Cdmx,Monterrey,215.3,failed,2024-06-01,Estafeta
1381,Monterrey,Puebla,128.7,failed,2024-02-26,DHL
1421,Tijuana,Puebla,263.1,delivered,2024-01-27,Estafeta
1424,Guadalajara,Monterrey,129.1,failed,2024-02-01,Redpack
1453,Cdmx,Cancún,135.4,delivered,2024-04-10,FedEx
1527,Puebla,León,122.1,delivered,2024-03-11,Estafeta
1550,Monterrey,León,268.9,delivered,2024-01-13,Redpack
1615,Monterrey,Cancún,259.5,failed,2024-03-18,FedEx
1650,Guadalajara,Cancún,200.4,failed,2024-06-06,FedEx
1701,Guadalajara,Puebla,122.1,failed,2024-05-01,FedEx
1827,Puebla,Tijuana,276.6,in_transit,2024-04-05,Estafeta
1873,Puebla,Tijuana,206.1,delivered,2024-03-12,DHL
1937,Guadalajara,Monterrey,253.1,in_transit,2024-06-26,DHL
1950,Puebla,CDMX,162.4,delivered,2024-06-27,Redpack
1999,Monterrey,León,150.7,in_transit,2024-05-09,Estafeta
